LongTable-checkbox,lineage1,lineage2,lineage3,depmapId,displayName, Primary Disease
TRUE,Soft Tissue,Synovial Sarcoma,,ACH-002085,HSSYII,Sarcoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell,ACH-000914,HT,Lymphoma
TRUE,Soft Tissue,Fibrosarcoma,,ACH-000054,HT1080,Sarcoma
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000986,HT115,Colon/Colorectal Cancer
TRUE,Urinary Tract,Bladder Carcinoma,,ACH-000547,HT1197,Bladder Cancer
TRUE,Urinary Tract,Bladder Carcinoma,,ACH-000724,HT1376,Bladder Cancer
TRUE,Skin,Melanoma,,ACH-000322,HT144,Skin Cancer
TRUE,Skin,Melanoma,,ACH-002458,HT144SKINFV1,Skin Cancer
TRUE,Skin,Melanoma,,ACH-002460,HT144SKINFV2,Skin Cancer
TRUE,Skin,Melanoma,,ACH-002459,HT144SKINFV3,Skin Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000552,HT29,Colon/Colorectal Cancer
TRUE,Cervix,Cervical Carcinoma,,ACH-001525,HT3,Cervical Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000926,HT55,Colon/Colorectal Cancer
TRUE,Thyroid,Thyroid Carcinoma,Giant Cell,ACH-001350,HTCC3,Thyroid Cancer
TRUE,Plasma Cell,Multiple Myeloma,,ACH-001094,HTK,Myeloma
TRUE,Uterus,MMMT,,ACH-002046,HTMMT,Endometrial/Uterine Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-000976,HUCCT1,Bile Duct Cancer
TRUE,Gastric,Gastric Adenocarcinoma,Tubular,ACH-000239,HUG1N,Gastric Cancer
TRUE,Liver,Hepatocellular Carcinoma,HBs Antigen Carrier,ACH-000475,HUH1,Liver Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-000808,HUH28,Bile Duct Cancer
TRUE,Liver,Hepatoblastoma,,ACH-000671,HUH6,Liver Cancer
TRUE,Liver,Hepatoblastoma,,ACH-002395,HUH6CLONE5,Liver Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-000480,HUH7,Liver Cancer
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000829,HUNS1,Myeloma
TRUE,Bone,Osteosarcoma,,ACH-002142,HUO3N1,Bone Cancer
TRUE,Bone,Osteosarcoma,,ACH-001526,HUO9,Bone Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000118,HUPT3,Pancreatic Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000213,HUPT4,Pancreatic Cancer
TRUE,Lymphocyte,Lymphoma Unspecified,T-cell,ACH-000612,HUT102,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,T-cell Cutaneous,ACH-000509,HUT78,Lymphoma
TRUE,Gastric,Duodenal Adenocarcinoma,,ACH-000538,HUTU80,Gastric Cancer
TRUE,Lung,NSCLC,NSCLC Large Cell,ACH-000672,IALM,Lung Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001834,ICC10,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001835,ICC106,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001836,ICC108,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001838,ICC12,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001839,ICC137,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Extrahepatic,ACH-001841,ICC15,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001842,ICC2,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001843,ICC3,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001844,ICC4,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001845,ICC5,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001846,ICC6,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001848,ICC8,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001849,ICC9,Bile Duct Cancer
TRUE,Skin,Melanoma,,ACH-000882,IGR1,Skin Cancer
TRUE,Skin,Melanoma,,ACH-000650,IGR37,Skin Cancer
TRUE,Skin,Melanoma,,ACH-000550,IGR39,Skin Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Mixed Endometrioid Clear Cell,ACH-000966,IGROV1,Ovarian Cancer
TRUE,Thyroid,Thyroid Carcinoma,Papillary,ACH-001528,IHH4,Thyroid Cancer
TRUE,Engineered,,,ACH-002247,IM9,Non-Cancerous
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-000919,IM95,Gastric Cancer
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-000310,IMR32,Neuroblastoma
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-002248,IMR5,Neuroblastoma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000512,INA6,Myeloma
TRUE,Central Nervous System,Meningioma,,ACH-000629,IOMMLEE,Brain Cancer
TRUE,Skin,Melanoma,,ACH-000915,IPC298,Skin Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000961,ISHIKAWAHERAKLIO02ER,Endometrial/Uterine Cancer
TRUE,Skin,Melanoma,,ACH-002143,ISTMEL1,Skin Cancer
TRUE,Lung,Mesothelioma,,ACH-000569,ISTMES1,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-000331,ISTMES2,Lung Cancer
TRUE,Lung,SCLC,,ACH-002144,ISTSL1,Lung Cancer
TRUE,Lung,SCLC,,ACH-002145,ISTSL2,Lung Cancer
TRUE,Urinary Tract,Bladder Carcinoma,Bladder Transitional Cell,ACH-000396,J82,Bladder Cancer
TRUE,Unknown,,,ACH-002379,J82EBV,Unknown
TRUE,Uterus,Choriocarcinoma,,ACH-001529,JAR,Endometrial/Uterine Cancer
TRUE,Uterus,Choriocarcinoma,,ACH-001530,JEG3,Endometrial/Uterine Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Mantle Cell,ACH-000357,JEKO1,Lymphoma
TRUE,Bone,Chordoma,,ACH-001955,JHC7,Bone Cancer
TRUE,Esophagus,Esophagus Adenocarcinoma,,ACH-000216,JHESOAD1,Esophageal Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-000620,JHH1,Liver Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-000577,JHH2,Liver Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-000476,JHH4,Liver Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-000734,JHH5,Liver Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-000217,JHH6,Liver Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-000848,JHH7,Liver Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Clear Cell,ACH-000324,JHOC5,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Mucinous,ACH-000237,JHOM1,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Mucinous,ACH-000333,JHOM2B,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-000132,JHOS2,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Serous,ACH-002146,JHOS3,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-000584,JHOS4,Ovarian Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Laryngeal,ACH-002249,JHU011,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-002250,JHU022,Head and Neck Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-002337,JHU028,Lung Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Laryngeal,ACH-002251,JHU029,Head and Neck Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000928,JHUEM1,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000909,JHUEM2,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000173,JHUEM3,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000993,JHUEM7,Endometrial/Uterine Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2pos,ACH-000711,JIMT1,Breast Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-002252,JIYOYEP2003,Lymphoma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000653,JJN3,Myeloma
TRUE,Blood,CML,Blast Crisis,ACH-000241,JK1,Leukemia
TRUE,Lung,Mesothelioma,,ACH-000645,JL1,Lung Cancer
TRUE,Blood,ALL,B-cell,ACH-000151,JM1,Leukemia
TRUE,Urinary Tract,Bladder Carcinoma,,ACH-000753,JMSU1,Bladder Cancer
TRUE,Kidney,Malignant Rhabdoid Tumor,,ACH-001532,JMURTK2,Rhabdoid
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-001353,JOPACA1,Pancreatic Cancer
TRUE,Soft Tissue,Rhabdomyosarcoma,,ACH-001096,JR,Sarcoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Primary Effusion,ACH-002253,JSC1,Lymphoma
TRUE,Blood,ALL,T-cell,ACH-000995,JURKAT,Leukemia
TRUE,Blood,CML,Blast Crisis,ACH-000326,JURLMK1,Leukemia
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-002659,JVE127,Colon/Colorectal Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Mantle Cell,ACH-000106,JVM2,Lymphoma
TRUE,Blood,CLL,B-cell,ACH-000346,JVM3,Leukemia
TRUE,Skin,Melanoma,,ACH-000404,K029AX,Skin Cancer
TRUE,Skin,Melanoma,,ACH-002147,K2,Skin Cancer
TRUE,Thyroid,Thyroid Carcinoma,,ACH-002148,K5,Thyroid Cancer
TRUE,Blood,CML,Blast Crisis,ACH-000551,K562,Leukemia
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000231,KALS1,Brain Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Mediastinal Large,ACH-002254,KARPAS1106P,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,Splenic Lymphoma,ACH-001533,KARPAS1718,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,DLBCL,ACH-002255,KARPAS231,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,T-cell ALCL,ACH-000053,KARPAS299,Lymphoma
TRUE,Lymphocyte,Lymphoma Unspecified,T-cell,ACH-001097,KARPAS384,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,DLBCL,ACH-000315,KARPAS422,Lymphoma
TRUE,Blood,ALL,T-cell,ACH-002256,KARPAS45,Leukemia
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000193,KARPAS620,Myeloma
TRUE,Blood,AML,M2,ACH-000263,KASUMI1,Leukemia
TRUE,Blood,ALL,B-cell,ACH-000728,KASUMI2,Leukemia
TRUE,Blood,AML,M2,ACH-000166,KASUMI6,Leukemia
TRUE,Gastric,Gastric Adenocarcinoma,Signet Ring Cell,ACH-000793,KATOIII,Gastric Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-001098,KCIMOH1,Pancreatic Cancer
TRUE,Blood,CML,Blast Crisis,ACH-000983,KCL22,Leukemia
TRUE,Soft Tissue,Malignant Rhabdoid Tumor,,ACH-001099,KD,Rhabdoid
TRUE,Blood,ALL,T-cell,ACH-000101,KE37,Leukemia
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-000507,KE39,Gastric Cancer
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000167,KE97,Myeloma
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-000259,KELLY,Neuroblastoma
TRUE,Blood,AML,,ACH-000386,KG1,Leukemia
TRUE,Central Nervous System,Glioma,Oligodendroglioma,ACH-000126,KG1C,Brain Cancer
TRUE,Ovary,Granulosa Cell Tumor,,ACH-002149,KGN,Ovarian Cancer
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000564,KHM1B,Myeloma
TRUE,Lymphocyte,Lymphoma Unspecified,,ACH-001100,KHYG,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,T-cell ALCL,ACH-000773,KIJK,Lymphoma
TRUE,Central Nervous System,Glioma,Astrocytoma,ACH-002257,KINGS1,Brain Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Extrahepatic,ACH-001536,KKU100,Bile Duct Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001538,KKU213,Bile Duct Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000293,KLE,Endometrial/Uterine Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-001101,KLM1,Pancreatic Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000969,KM12,Colon/Colorectal Cancer
TRUE,Urinary Tract,Bladder Carcinoma,,ACH-000862,KMBC2,Bladder Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001853,KMCH1,Bile Duct Cancer
TRUE,Lymphocyte,Hodgkin Lymphoma,,ACH-000815,KMH2,Lymphoma
TRUE,Thyroid,Thyroid Carcinoma,,ACH-002397,KMHDASH2,Thyroid Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell,ACH-001539,KML1,Lymphoma
TRUE,Soft Tissue,Liposarcoma,,ACH-001540,KMLS1,Liposarcoma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000889,KMM1,Myeloma
TRUE,Blood,AML,M6,ACH-002258,KMOE2,Leukemia
TRUE,Kidney,Renal Cell Carcinoma,Clear Cell,ACH-000684,KMRC1,Kidney Cancer
TRUE,Kidney,Renal Cell Carcinoma,Clear Cell,ACH-000709,KMRC2,Kidney Cancer
TRUE,Kidney,Renal Cell Carcinoma,,ACH-000250,KMRC20,Kidney Cancer
TRUE,Kidney,Renal Cell Carcinoma,Clear Cell,ACH-000313,KMRC3,Kidney Cancer
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000714,KMS11,Myeloma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000380,KMS12BM,Myeloma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000658,KMS18,Myeloma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000426,KMS20,Myeloma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000598,KMS21BM,Myeloma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000588,KMS26,Myeloma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000576,KMS27,Myeloma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000419,KMS28BM,Myeloma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-001541,KMS28PE,Myeloma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000541,KMS34,Myeloma
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000622,KNS42,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000445,KNS60,Brain Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000858,KNS62,Lung Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000479,KNS81,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002259,KNS81FD,Brain Cancer
TRUE,Blood,AML,M2,ACH-000498,KO52,Leukemia
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,,ACH-001542,KON,Head and Neck Cancer
TRUE,Blood,ALL,B-cell,ACH-001106,KOPN8,Leukemia
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-001543,KOSC2,Head and Neck Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-001107,KP1N,Pancreatic Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000281,KP2,Pancreatic Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenosquamous,ACH-000108,KP3,Pancreatic Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000265,KP4,Pancreatic Cancer
TRUE,Breast,Breast Carcinoma,ERpos HER2neg,ACH-000028,KPL1,Breast Cancer
TRUE,Soft Tissue,Malignant Rhabdoid Tumor,,ACH-001109,KPMRTRY,Rhabdoid
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-000345,KPNRTBM1,Neuroblastoma
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-000446,KPNSI9S,Neuroblastoma
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-000227,KPNYN,Neuroblastoma
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-002261,KPNYS,Neuroblastoma
TRUE,Central Nervous System,Glioma,Astrocytoma,ACH-000631,KS1,Brain Cancer
TRUE,Urinary Tract,Bladder Carcinoma,Bladder Transitional Cell,ACH-000486,KU1919,Bladder Cancer
TRUE,Blood,CML,Blast Crisis,ACH-000074,KU812,Leukemia
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-000524,KURAMOCHI,Ovarian Cancer
TRUE,Blood,AML,M4,ACH-002262,KY821,Leukemia
TRUE,Esophagus,Esophagus Adenocarcinoma,,ACH-001544,KYAE1,Esophageal Cancer
TRUE,Soft Tissue,Malignant Rhabdoid Tumor,,ACH-000607,KYM1,Rhabdoid
TRUE,Blood,CML,Blast Crisis,ACH-000604,KYO1,Leukemia
TRUE,Esophagus,Esophagus Squamous,,ACH-000823,KYSE140,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000855,KYSE150,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000693,KYSE180,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-002263,KYSE220,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000873,KYSE270,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000777,KYSE30,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000809,KYSE410,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000865,KYSE450,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-002264,KYSE50,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000824,KYSE510,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000637,KYSE520,Esophageal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000784,KYSE70,Esophageal Cancer
TRUE,Lymphocyte,Hodgkin Lymphoma,,ACH-000702,L1236,Lymphoma
TRUE,Pancreas,Exocrine,Exocrine Adenosquamous,ACH-000685,L33,Pancreatic Cancer
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000183,L363,Myeloma
TRUE,Lymphocyte,Hodgkin Lymphoma,,ACH-000754,L428,Lymphoma
TRUE,Lymphocyte,Hodgkin Lymphoma,,ACH-000806,L540,Lymphoma
TRUE,Unknown,,,ACH-002351,L542,Unknown
TRUE,Lymphocyte,Lymphoma Unspecified,T-cell,ACH-001111,L82,Lymphoma
TRUE,Blood,CML,Blast Crisis,ACH-000301,LAMA84,Leukemia
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-001354,LAN2,Neuroblastoma
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-001355,LAN6,Neuroblastoma
TRUE,Unknown,,,ACH-002352,LB1047EBV,Unknown
TRUE,Kidney,Renal Cell Carcinoma,,ACH-002150,LB1047RCC,Kidney Cancer
TRUE,Unknown,,,ACH-002353,LB2241EBV,Unknown
TRUE,Kidney,Renal Cell Carcinoma,,ACH-002151,LB2241RCC,Kidney Cancer
TRUE,Unknown,,,ACH-002354,LB2518EBV,Unknown
TRUE,Skin,Melanoma,,ACH-002152,LB2518MEL,Skin Cancer
TRUE,Unknown,,,ACH-002355,LB373EBV,Unknown
TRUE,Skin,Melanoma,,ACH-002153,LB373MELD,Skin Cancer
TRUE,Unknown,,,ACH-002356,LB647PBL,Unknown
TRUE,Lung,SCLC,,ACH-002154,LB647SCLC,Lung Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,,ACH-002265,LB771HNC,Head and Neck Cancer
TRUE,Unknown,,,ACH-002357,LB771PBL,Unknown
TRUE,Urinary Tract,Bladder Carcinoma,,ACH-002266,LB831BLC,Bladder Cancer
TRUE,Unknown,,,ACH-002358,LB831EBV,Unknown
TRUE,Kidney,Renal Cell Carcinoma,,ACH-002155,LB996RCC,Kidney Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000705,LC1F,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-002156,LC1SQ,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-001113,LC1SQSF,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-002157,LC2AD,Lung Cancer
TRUE,Blood,ALL,B-cell,ACH-002267,LC41,Leukemia
TRUE,Lung,NSCLC,NSCLC Large Cell,ACH-000627,LCLC103H,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Large Cell,ACH-000596,LCLC97TM1,Lung Cancer
TRUE,Liver,,,ACH-000471,LI7,Liver Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000769,LK2,Lung Cancer
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-000255,LMSU,Gastric Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000819,LN18,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000328,LN215,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000595,LN229,Brain Cancer
TRUE,Central Nervous System,Glioma,Astrocytoma,ACH-000591,LN235,Brain Cancer
TRUE,Central Nervous System,Glioma,Astrocytoma,ACH-000128,LN319,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000634,LN340,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000215,LN382,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-002268,LN405,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000455,LN428,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000673,LN443,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000676,LN464,Brain Cancer
TRUE,Prostate,Prostate Adenocarcinoma,,ACH-000977,LNCAPCLONEFGC,Prostate Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000760,LNZ308,Brain Cancer
TRUE,Central Nervous System,Glioma,Astrocytoma,ACH-002269,LNZTA3WT4,Brain Cancer
TRUE,Lung,Mesothelioma,,ACH-001547,LO68,Lung Cancer
TRUE,Blood,ALL,T-cell,ACH-000104,LOUCY,Leukemia
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000176,LOUNH91,Lung Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000950,LOVO,Colon/Colorectal Cancer
TRUE,Skin,Melanoma,,ACH-000750,LOXIMVI,Skin Cancer
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000204,LP1,Myeloma
TRUE,Soft Tissue,Liposarcoma,DDLPS,ACH-001807,LPS067,Liposarcoma
TRUE,Soft Tissue,Liposarcoma,DDLPS,ACH-001799,LPS141,Liposarcoma
TRUE,Soft Tissue,Liposarcoma,,ACH-001793,LPS27,Liposarcoma
TRUE,Soft Tissue,Liposarcoma,WD/DDPLS,ACH-001804,LPS510,Liposarcoma
TRUE,Soft Tissue,Liposarcoma,,ACH-001791,LPS6,Liposarcoma
TRUE,Soft Tissue,Liposarcoma,DDLPS,ACH-001802,LPS853,Liposarcoma
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-001548,LS,Neuroblastoma
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000252,LS1034,Colon/Colorectal Cancer
TRUE,Unknown,,,ACH-002376,LS1034PBL,Unknown
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000501,LS123,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000957,LS180,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000985,LS411N,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000007,LS513,Colon/Colorectal Cancer
TRUE,Lung,SCLC,,ACH-002051,LU134A,Lung Cancer
TRUE,Lung,SCLC,,ACH-001549,LU135,Lung Cancer
TRUE,Lung,SCLC,,ACH-002052,LU139,Lung Cancer
TRUE,Lung,SCLC,,ACH-002077,LU165,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Large Cell,ACH-000438,LU65,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Large Cell,ACH-000444,LU99,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Large Cell,ACH-002158,LU99A,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000390,LUDLU1,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000787,LXF289,Lung Cancer
TRUE,Breast,,,ACH-002325,LY2,Breast Cancer
TRUE,Skin,Melanoma,,ACH-002386,M00921,Skin Cancer
TRUE,Skin,Melanoma,Acral,ACH-002510,M040416,Skin Cancer
TRUE,Central Nervous System,Glioma,,ACH-001118,M059J,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000152,M059K,Brain Cancer
TRUE,Blood,AML,M7,ACH-000602,M07E,Leukemia
TRUE,Skin,Melanoma,,ACH-002387,M1203273,Skin Cancer
TRUE,Skin,Melanoma,Amelanotic,ACH-002159,M14,Skin Cancer
TRUE,Skin,Melanoma,Mucosal,ACH-002511,M140325,Skin Cancer
TRUE,Skin,Melanoma,,ACH-002338,M980513,Skin Cancer
TRUE,Lymphocyte,Lymphoma Unspecified,T-cell,ACH-001119,MAC2A,Lymphoma
TRUE,Breast,,,ACH-002326,MACLS2,Breast Cancer
TRUE,Skin,Melanoma,,ACH-000477,MALME3M,Skin Cancer
TRUE,Thyroid,Thyroid Carcinoma,Anaplastic,ACH-001356,MB1,Thyroid Cancer
TRUE,Blood,AML,,ACH-002390,MC1010,Leukemia
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell,ACH-000583,MC116,Lymphoma
TRUE,Ovary,Ovary Adenocarcinoma,Mucinous,ACH-000796,MCAS,Ovarian Cancer
TRUE,Skin,Merkel Cell Carcinoma,,ACH-001550,MCC13,Skin Cancer
TRUE,Skin,Merkel Cell Carcinoma,,ACH-001551,MCC142,Skin Cancer
TRUE,Skin,Merkel Cell Carcinoma,,ACH-001552,MCC26,Skin Cancer
TRUE,Engineered,,,ACH-002270,MCCAR,Non-Cancerous
TRUE,Engineered Breast,,,ACH-001357,MCF10A,Engineered
TRUE,Breast,,,ACH-002327,MCF12A,Breast Cancer
TRUE,Breast,Breast Carcinoma,ERpos HER2neg,ACH-000019,MCF7,Breast Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002160,MCIXC,Bone Cancer
